title,coordinates,date,year
"Wildfire - Broadwater County (Woods Creek Fire), Montana, United States","[-111.30538, 46.5346]",2021-07-27T15:20:00Z,2021
"Wildfire - Colville Reservation (Summit Trail Fire), Washington, United States","[-118.48844, 48.35746]",2021-07-27T15:15:00Z,2021
"Wildfire - Stevens County (Spruce Canyon Fire), Washington, United States","[-117.5832, 48.54019]",2021-07-26T18:36:00Z,2021
"Wildfire - Cascade County (American Fork Fire), Montana, United States","[-110.28626, 46.15516]",2021-07-26T18:32:00Z,2021
"Wildfire - Flathead County (Hay Creek Fire), Montana, United States","[-114.42992, 48.77414]",2021-07-26T18:30:00Z,2021
"Wildfires - Lincoln County (Burnt Peak Fire), Montana, United States","[-116.00995, 48.35426]",2021-07-26T18:26:00Z,2021
"Wildfire - Cascade County (Divide Complex - Balsinger Fire), Montana, United States","[-110.88619, 47.00918]",2021-07-26T14:54:00Z,2021
"Wildfire - Stevens County (Sherwood Fire), Washington, United States","[-117.97914, 47.91946]",2021-07-22T16:33:00Z,2021
"Wildfire - Stevens County (Goddard Road Fire), Washington, United States","[-118.13894, 48.46294]",2021-07-21T16:55:00Z,2021
"Wildfires - Carbon County (Robertson Draw Fire), Montana, United States","[-109.21818, 45.03283]",2021-07-20T15:51:00Z,2021
"Wildfires - Granite County (Anderson Hill Fire), Montana, United States","[-113.3085, 46.81666]",2021-07-20T15:48:00Z,2021
"Wildfires - Shoshone County (Character Complex), Idaho, United States","[-116.02637, 47.63211]",2021-07-19T17:25:00Z,2021
"Wildfires - Beaver County (Black Mountain Fire), Montana, United States","[-113.45966, 45.1798]",2021-07-19T16:25:00Z,2021
"Wildfires - Lemhi County (Mud Lick Fire), Idaho, United States","[-114.37901, 45.17826]",2021-07-18T23:29:00Z,2021
"Wildfire - S of Carson City, Nevada - United States","[-119.830586901, 38.670339768]",2021-07-17T10:43:00Z,2021
"Wildfires - Deschutes County (Darlene Fire), Oregon, United States","[-121.46825, 43.62011]",2021-07-15T16:42:00Z,2021
"Wildfires - Klickitat County (Lyle Hill Fire), Washington, United States","[-121.27131, 45.69798]",2021-07-15T16:39:00Z,2021
"Wildfires - Okanogan County (Cedar Creek/Varden/Delancy Fires), California, United States","[-120.522, 48.57827]",2021-07-14T19:30:00Z,2021
"Wildfire - NW of Spokane, Washington - United States","[-118.910256697, 48.139651026]",2021-07-13T10:42:00Z,2021
"Wildfire - Mohave County (Elements Fire), Arizona, United States","[-114.08793, 35.43096]",2021-07-12T16:45:00Z,2021
"Wildfire - Mariposa County (River Fire), California, United States","[-119.84447, 37.33621]",2021-07-12T14:44:00Z,2021
"Wildfires - Mendocino County (Broiler Fire), California, United States","[-123.23517, 39.25635]",2021-07-08T16:32:00Z,2021
"Wildfires - Asotin County (Dry Gulch Fire), Washington, United States","[-117.35373, 46.2923]",2021-07-08T16:28:00Z,2021
"Wildfire - Spokane County (Andrus Fire), Washington, United States","[-117.5498, 47.54926]",2021-07-06T15:43:00Z,2021
"Wildfire - Wasco County (Sunset Fire), Oregon, United States","[-121.11953, 45.57376]",2021-07-02T17:45:00Z,2021
