Event,Categories,Date,Location,Country,Year,Longitude,Latitude
"Wildfire - NE of Redding, California - United States",Wildfires,2021-09-23 21:40:00+00:00,"[-122.300586725, 40.707903489]",United States,2021,-122.300586725,40.707903489
"Wildfire - W of Lancaster, California - United States",Wildfires,2021-09-18 14:45:00+00:00,"[-118.757917621, 34.676320178]",United States,2021,-118.757917621,34.676320178
"Wildfire - NE of Visalia, California - United States",Wildfires,2021-09-16 01:08:00+00:00,"[-118.793009903, 36.518072392]",United States,2021,-118.793009903,36.518072392
"Wildfire - E of Mesa, Arizona - United States",Wildfires,2021-09-10 00:41:00+00:00,"[-110.861358494, 33.417542977]",United States,2021,-110.861358494,33.417542977
"Wildfire - NE of Modesto, California - United States",Wildfires,2021-08-27 00:11:00+00:00,"[-120.397719545, 37.969258033]",United States,2021,-120.397719545,37.969258033
"Wildfire - NW of San Bernardino, California - United States",Wildfires,2021-08-26 01:23:00+00:00,"[-117.443074933, 34.182264114]",United States,2021,-117.443074933,34.182264114
"Wildfire - NW of Montpelier, Idaho - United States",Wildfires,2021-08-25 20:48:00+00:00,"[-111.591190059, 42.686670839]",United States,2021,-111.591190059,42.686670839
"Wildfire - E of Mesa, Arizona - United States",Wildfires,2021-08-20 11:54:00+00:00,"[-110.859687743, 33.416821311]",United States,2021,-110.859687743,33.416821311
"Wildfire - N of Santa Rosa, California - United States",Wildfires,2021-08-18 23:52:00+00:00,"[-122.604087947, 38.924589754]",United States,2021,-122.604087947,38.924589754
"Wildfires - Stevens County (Ford Corkscrew Fire), Washington, United States",Wildfires,2021-08-16 19:24:00+00:00,"[-117.72662, 47.93565]",United States,2021,-117.72662,47.93565
"Wildfires - Lake County (Greenwood Fire), Minnesota, United States",Wildfires,2021-08-16 19:19:00+00:00,"[-91.62542, 47.56328]",United States,2021,-91.62542,47.56328
"Wildfires - Salt Lake and Summit Counties (Parleys Canyon Fire), Utah, United States",Wildfires,2021-08-15 23:31:00+00:00,"[-111.64845, 40.73292]",United States,2021,-111.64845,40.73292
"Wildfire - NW of Montpelier, Idaho - United States",Wildfires,2021-08-15 11:54:00+00:00,"[-111.592808877, 42.685232232]",United States,2021,-111.592808877,42.685232232
"Stevens County (Nine Mine Fire), Washington, United States",Wildfires,2021-08-13 18:01:00+00:00,"[-118.21131, 48.94482]",United States,2021,-118.21131,48.94482
"Wildfires - Yuba County (Glen Fire), California, United States",Wildfires,2021-08-12 15:45:00+00:00,"[-121.29963, 39.40551]",United States,2021,-121.29963,39.40551
"Patton Meadow Fire, Klamath and Lake Counties, Oregon, United States",Wildfires,2021-08-12 15:30:00+00:00,"[-120.599, 42.21]",United States,2021,-120.599,42.21
"Wildfires - Okanogan County (Chickadee Fire), Washington, United States",Wildfires,2021-08-09 15:10:00+00:00,"[-119.79643, 48.76877]",United States,2021,-119.79643,48.76877
