,Event,Categories,Date,Location,Country,Year,Longitude,Latitude
160,"Wildfires - Stevens County (Ford Corkscrew Fire), Washington, United States",Wildfires,2021-08-16 19:24:00+00:00,"[-117.72662, 47.93565]",United States,2021,-117.72662,47.93565
161,"Wildfires - Lake County (Greenwood Fire), Minnesota, United States",Wildfires,2021-08-16 19:19:00+00:00,"[-91.62542, 47.56328]",United States,2021,-91.62542,47.56328
166,"Wildfires - Salt Lake and Summit Counties (Parleys Canyon Fire), Utah, United States",Wildfires,2021-08-15 23:31:00+00:00,"[-111.64845, 40.73292]",United States,2021,-111.64845,40.73292
168,"Wildfire - NW of Montpelier, Idaho - United States",Wildfires,2021-08-15 11:54:00+00:00,"[-111.592808877, 42.685232232]",United States,2021,-111.592808877,42.685232232
172,"Stevens County (Nine Mine Fire), Washington, United States",Wildfires,2021-08-13 18:01:00+00:00,"[-118.21131, 48.94482]",United States,2021,-118.21131,48.94482
176,"Wildfires - Yuba County (Glen Fire), California, United States",Wildfires,2021-08-12 15:45:00+00:00,"[-121.29963, 39.40551]",United States,2021,-121.29963,39.40551
177,"Patton Meadow Fire, Klamath and Lake Counties, Oregon, United States",Wildfires,2021-08-12 15:30:00+00:00,"[-120.599, 42.21]",United States,2021,-120.599,42.21
184,"Wildfires - Okanogan County (Chickadee Fire), Washington, United States",Wildfires,2021-08-09 15:10:00+00:00,"[-119.79643, 48.76877]",United States,2021,-119.79643,48.76877
187,"Wildfires - Colville Indian Reservation (Whitmore Fire), Washington, United States",Wildfires,2021-08-06 20:29:00+00:00,"[-119.14283, 48.16566]",United States,2021,-119.14283,48.16566
188,"Wildfires - Siskiyou County (McCash Fire), California, United States",Wildfires,2021-08-06 20:16:00+00:00,"[-123.39812, 41.56375]",United States,2021,-123.39812,41.56375
189,"Wildfires - Douglas County (Devils Knob Complex), Oregon, United States",Wildfires,2021-08-06 19:52:00+00:00,"[-122.83812, 42.90764]",United States,2021,-122.83812,42.90764
193,"Wildfire - Yakima County (Schneider Springs Fire), Washington, United States",Wildfires,2021-08-05 20:21:00+00:00,"[-121.15523, 46.84509]",United States,2021,-121.15523,46.84509
197,"Wildfires - Nevada and Placer Counties (River Fire), California, United States",Wildfires,2021-08-05 13:45:00+00:00,"[-120.97613, 39.11329]",United States,2021,-120.97613,39.11329
199,"Spur Fire, Okanogan County, Washington, United States",Wildfires,2021-08-05 02:00:00+00:00,"[-119.079, 48.815]",United States,2021,-119.079,48.815
203,"Muckamuck Fire, Okanogan County, Washington, United States",Wildfires,2021-08-04 11:00:00+00:00,"[-119.832, 48.575]",United States,2021,-119.832,48.575
207,"Wildfire - Siskiyou County (River Complex), California, United States",Wildfires,2021-08-03 16:37:00+00:00,"[-123.05161, 41.1534]",United States,2021,-123.05161,41.1534
210,"Wildfire - Siskiyou County (Antelope Fire), California, United States",Wildfires,2021-08-02 23:25:00+00:00,"[-121.92528, 41.50178]",United States,2021,-121.92528,41.50178
211,"Wildfire - Lane County (Middle Fork Complex), Oregon, United States",Wildfires,2021-08-02 18:11:00+00:00,"[-122.47228, 43.95022]",United States,2021,-122.47228,43.95022
212,"Wildfire - Trinity County (Monument Fire), California, United States",Wildfires,2021-08-02 18:02:00+00:00,"[-123.31743, 40.748]",United States,2021,-123.31743,40.748
213,"Wildfire - Lake County (Boulder 2700 Fire), Montana, United States",Wildfires,2021-08-02 17:55:00+00:00,"[-113.99586, 47.77489]",United States,2021,-113.99586,47.77489
214,"Wildfire - Bonner County (Pioneer Fire), Idaho, United States",Wildfires,2021-08-02 17:49:00+00:00,"[-116.92985, 48.21894]",United States,2021,-116.92985,48.21894
223,"Wildfire - Trinity County (McFarland Fire), California, United States",Wildfires,2021-08-01 23:42:00+00:00,"[-123.06769, 40.34992]",United States,2021,-123.06769,40.34992
240,"Wildfires - Garfield County (Green Ridge Fire), Washington, United States",Wildfires,2021-07-28 15:57:00+00:00,"[-117.72063, 46.17848]",United States,2021,-117.72063,46.17848
241,"Wildfires - Beaverhead County (Trail Creek Fire), Montana, United States",Wildfires,2021-07-28 15:37:00+00:00,"[-113.84928, 45.60727]",United States,2021,-113.84928,45.60727
242,"Wildfire - Spokane County (Hazard Hill Fire), Washington, United States",Wildfires,2021-07-28 15:18:00+00:00,"[-117.47202, 47.82259]",United States,2021,-117.47202,47.82259
248,"Wildfire - Broadwater County (Woods Creek Fire), Montana, United States",Wildfires,2021-07-27 15:20:00+00:00,"[-111.30538, 46.5346]",United States,2021,-111.30538,46.5346
249,"Wildfire - Colville Reservation (Summit Trail Fire), Washington, United States",Wildfires,2021-07-27 15:15:00+00:00,"[-118.48844, 48.35746]",United States,2021,-118.48844,48.35746
258,"Wildfire - Stevens County (Spruce Canyon Fire), Washington, United States",Wildfires,2021-07-26 18:36:00+00:00,"[-117.5832, 48.54019]",United States,2021,-117.5832,48.54019
259,"Wildfire - Cascade County (American Fork Fire), Montana, United States",Wildfires,2021-07-26 18:32:00+00:00,"[-110.28626, 46.15516]",United States,2021,-110.28626,46.15516
260,"Wildfire - Flathead County (Hay Creek Fire), Montana, United States",Wildfires,2021-07-26 18:30:00+00:00,"[-114.42992, 48.77414]",United States,2021,-114.42992,48.77414
261,"Wildfires - Lincoln County (Burnt Peak Fire), Montana, United States",Wildfires,2021-07-26 18:26:00+00:00,"[-116.00995, 48.35426]",United States,2021,-116.00995,48.35426
262,"Wildfire - Cascade County (Divide Complex - Balsinger Fire), Montana, United States",Wildfires,2021-07-26 14:54:00+00:00,"[-110.88619, 47.00918]",United States,2021,-110.88619,47.00918
271,"Wildfire - Stevens County (Sherwood Fire), Washington, United States",Wildfires,2021-07-22 16:33:00+00:00,"[-117.97914, 47.91946]",United States,2021,-117.97914,47.91946
273,"Wildfire - Stevens County (Goddard Road Fire), Washington, United States",Wildfires,2021-07-21 16:55:00+00:00,"[-118.13894, 48.46294]",United States,2021,-118.13894,48.46294
276,"Wildfires - Carbon County (Robertson Draw Fire), Montana, United States",Wildfires,2021-07-20 15:51:00+00:00,"[-109.21818, 45.03283]",United States,2021,-109.21818,45.03283
277,"Wildfires - Granite County (Anderson Hill Fire), Montana, United States",Wildfires,2021-07-20 15:48:00+00:00,"[-113.3085, 46.81666]",United States,2021,-113.3085,46.81666
280,"Wildfires - Shoshone County (Character Complex), Idaho, United States",Wildfires,2021-07-19 17:25:00+00:00,"[-116.02637, 47.63211]",United States,2021,-116.02637,47.63211
281,"Wildfires - Beaver County (Black Mountain Fire), Montana, United States",Wildfires,2021-07-19 16:25:00+00:00,"[-113.45966, 45.1798]",United States,2021,-113.45966,45.1798
285,"Wildfires - Lemhi County (Mud Lick Fire), Idaho, United States",Wildfires,2021-07-18 23:29:00+00:00,"[-114.37901, 45.17826]",United States,2021,-114.37901,45.17826
288,"Wildfire - S of Carson City, Nevada - United States",Wildfires,2021-07-17 10:43:00+00:00,"[-119.830586901, 38.670339768]",United States,2021,-119.830586901,38.670339768
298,"Wildfires - Deschutes County (Darlene Fire), Oregon, United States",Wildfires,2021-07-15 16:42:00+00:00,"[-121.46825, 43.62011]",United States,2021,-121.46825,43.62011
299,"Wildfires - Klickitat County (Lyle Hill Fire), Washington, United States",Wildfires,2021-07-15 16:39:00+00:00,"[-121.27131, 45.69798]",United States,2021,-121.27131,45.69798
302,"Wildfires - Okanogan County (Cedar Creek/Varden/Delancy Fires), California, United States",Wildfires,2021-07-14 19:30:00+00:00,"[-120.522, 48.57827]",United States,2021,-120.522,48.57827
310,"Wildfire - NW of Spokane, Washington - United States",Wildfires,2021-07-13 10:42:00+00:00,"[-118.910256697, 48.139651026]",United States,2021,-118.910256697,48.139651026
318,"Wildfire - Mohave County (Elements Fire), Arizona, United States",Wildfires,2021-07-12 16:45:00+00:00,"[-114.08793, 35.43096]",United States,2021,-114.08793,35.43096
319,"Wildfire - Mariposa County (River Fire), California, United States",Wildfires,2021-07-12 14:44:00+00:00,"[-119.84447, 37.33621]",United States,2021,-119.84447,37.33621
337,"Wildfires - Mendocino County (Broiler Fire), California, United States",Wildfires,2021-07-08 16:32:00+00:00,"[-123.23517, 39.25635]",United States,2021,-123.23517,39.25635
338,"Wildfires - Asotin County (Dry Gulch Fire), Washington, United States",Wildfires,2021-07-08 16:28:00+00:00,"[-117.35373, 46.2923]",United States,2021,-117.35373,46.2923
345,"Wildfire - Spokane County (Andrus Fire), Washington, United States",Wildfires,2021-07-06 15:43:00+00:00,"[-117.5498, 47.54926]",United States,2021,-117.5498,47.54926
347,"Wildfire - Wasco County (Sunset Fire), Oregon, United States",Wildfires,2021-07-02 17:45:00+00:00,"[-121.11953, 45.57376]",United States,2021,-121.11953,45.57376
