微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
O27Xe1aSJ,【英国Offer】学生：您好～cook！想咨询选offer！ kcl的bf专业和曼大的finance 纠结的是：是曼大还要求最后一年学术进步稍微有点难！及kcl优越的地理位置会不会对实习和校友圈有帮助～  及kcl的qs会不会大幅提升！BG：双非金融 3.89 2实习 雅思7没有明确职业规划[苦涩] 选校  ,,无,无,无,2024-02-24 22:41,微博网页版,90,0,3
O27WRxvds,【英国香港新加坡LLM申请】学生：叔你好！投个offer，杜伦国际贸易法和general llm，雅思不合格con写作7其他6.5，bg末9 3.85/4.0 雅7（6）四实习（1互联网法务）过法考，英区都是1月投的，其他还没消息，想问问大家有没有可能等到cu回捞或者nus啊以及如果选杜伦这两个专业学习体验感和国内认可度...全文 ,,无,无,无,2024-02-24 22:40,微博网页版,0,0,0
O27Wk2wYZ,【英国澳洲Offer】学生：叔您好，可不可以帮我问一下offer怎么选：格拉斯哥Management，格拉斯哥Global Economy，悉尼Master of Project Management，南安Finacial and Economics怎么选？打算回国就业，比较纠结悉尼是1.5年，semester 2入学参加春招还是秋招Bg是双非，国贸，gpa3.2 ，1段银行实习，...全文 ,,无,无,无,2024-02-24 22:39,微博网页版,73,0,0
O27UEjko8,【英国澳洲Offer】学生：大家好，求帮忙选一下offerUCL 翻译与技术（口译相关）曼彻斯特 翻译与口译研究新南威尔士  口译虽然这几个学校可能口译都不是强项，但因为本科是双非， 想着研究生提一下学历，口译也是最感兴趣的专业，就申了这些学校。现在纠结的点，是英国和澳洲哪个国家生活幸...全文 ,,无,无,无,2024-02-24 22:35,微博网页版,132,0,7
O27SVCPeX,"【英国传媒Offer】学生：老师俺又来了 想请您帮忙发个投票 格拉斯哥Media, culture & society 和利兹film studies bg：双非 影视摄制本科 gpa87 2段实习 带了未达标雅思 选校  ",,无,无,无,2024-02-24 22:31,微博网页版,77,0,0
O27SBxfPR,"【英国澳洲Offer】学生：大家好，我是双非财经院校中外合办市场营销专业的，想麻烦大家帮我对比一下两个专业1.爱丁堡大学Sport Policy, Management and International Development (MSC)2.墨尔本大学master of management官网上爱丁堡的学费大概在29000英镑；墨尔本是两年制，学费大概为110000...全文 ",,无,无,无,2024-02-24 22:30,微博网页版,208,0,0
O27PYCIWj,【英国香港Offer】学生：求选校，谢谢大家！Offer：1. 爱丁堡大学—健康人文与艺术硕士（1年制研究型理学硕士）2.香港理工大学—创新多媒体娱乐（1.5年制理学硕士）港理工2.29这个月底就要求交留位费了！要hkd74800+hkd240手续费（现在还没决定好就没交） 选校  ,,无,无,无,2024-02-24 22:23,微博网页版,139,0,1
O27PlBjBH,【电影研究专业Offer】学生：投稿！拜托大家帮帮我，本人英国24fall留学生，刚收到南安普顿大学和利兹大学的同专业offer（电影研究专业），想问问各位应该怎么选呀！毕业后工作认可度、两个地区的生活情况和学校学习情况等等各方面都可以的！！实在不知道怎么办了，谢谢大家！！谢谢叔！...全文 ,,无,无,无,2024-02-24 22:22,微博网页版,80,0,0
O27Ou9CWT,【香港大学】学生：大家好，这是在HKU cgrm第一轮开奖没成功之后发邮件询问的回复，想请问下这个2月底的意思是之前收到推研邮件的同学收到正式offer的时间，还是2月底还会给一批同学发推研邮件呢？We would like to inform you that another batch of offers of Round 1 will be released at the end...全文 ,,无,无,无,2024-02-24 22:20,微博网页版,0,0,0
O27OgwLmK,【#NTU#】学生：大家好，请问24fall的南洋理工中国治理发offer了吗，目前没有收到任何邮件，什么情况呀  ,,无,无,无,2024-02-24 22:19,微博网页版,1,0,0
O27BvuPHW,【#格拉斯哥大学#】学生：大家好，求问格拉斯哥global economy的就读体验，比如课业压力大不大，考试是否容易过等等，本人比较佛，不想太卷。谢谢大家！  ,,无,无,无,2024-02-24 21:48,微博网页版,0,0,1
O27Bg94ki,【英国Offer】学生：叔，我想投个稿！想问下大家offer选择建议：1️⃣ LSE data science2️⃣ IC Computing (security&reliability)毕业直接回国工作，不去大厂，不去写码量过大的岗位，优先央企外企，目前在看银行就业如何，可能也会考虑公务员/事业编LSE pros：可申gss奖学金 学费少，总计比...全文 ,,无,无,无,2024-02-24 21:47,微博网页版,228,0,4
O1Ww6vKrz,【英国本科申新加坡硕士可以豁免雅思吗？】Q：我在英国读了三年完成本科，申新加坡需要考雅思吗？A: 这个我们以前写邮件问过学校，NTU也就是南洋理工大学是可以免雅思的，但NUS也就是新加坡国立大学对英本是不免雅思的。NUS的回复，对于母语非英语的申请者和大学教学语言不完全为英语的申请者，需要...全文 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/6cbca238gy1hn3j8cbp6pj23z45yonpj.jpg,http://ww3.sinaimg.cn/large/6cbca238gy1hn3j8d3td2j25yo3z4npl.jpg",无,无,2024-02-23 17:34,微博网页版,1,3,0
O1Wga6Fr8,【悉尼大学】学生：大家好！打扰了，我现在雅思考了7（6.5）悉尼的conoffer应该都能换到uncon了，能咨询一下战略公关（SPR）和项目管理（PM）怎么选比较好就业吗……bg双非一本金融，未来想进大厂/外企做市场/品宣/运营，能提供一些建议吗～谢谢大家！  ,,无,无,无,2024-02-23 16:55,微博网页版,3,1,1
O1WaA5qnX,英国语言班的缺点和读了的好处 崔钟博汶Cook的微博视频  ,,无,"https://f.video.weibocdn.com/o0/hBsj6BtXlx08cLve2HmE010412007iy90E010.mp4?label=mp4_hd&template=540x960.26.0&Expires=1708881570&ssig=gmyuWZO8H3&KID=unistore,video",无,2024-02-23 16:41,微博视频号,9,2,1
O1UNjvR1T,【今日汇率】2024年2月23日：1英镑=9.17人民币1新元=5.39人民币1澳元=4.76人民币1港币=0.92人民币1欧元=7.84人民币中国银行钞/汇卖价，仅供参考  原图 ,,https://wx4.sinaimg.cn/large/6cbca238gy1hn3bmv7oohj20j60jhacy.jpg,无,无,2024-02-23 13:11,微博网页版,2,1,0
O1ULYuYmB,澳门大学2024年Master of Arts in Teaching English to Speakers of Other Languages (TESOL)专业申请截止日期延期，截止日期延至2024.3.15Master of Social Sciences in European Studies和Master of Science in Innovative Materials专业申请截止日期延期，截止日期延至2024.3.31  ,,无,无,无,2024-02-23 13:08,微博网页版,1,0,0
O1ULGlN0v,香港教育大学2024Master of Education专业申请截止日期延期，截止日期延至2024.3.31  ,,无,无,无,2024-02-23 13:07,微博网页版,0,0,0
O1UL06A4X,【英国Offer】学生：崔叔，请帮我择校，bg是211中外合办，未来回上海做mkt相关，偏好快消美妆奢侈品的外企，不开工不需要落户。目前收到的offer是1.曼大材料学院international fashion marketing2.华威wbs marketing & strategy可以的话弄一个投票请大家帮我选择 谢谢！ 选校  ,,无,无,无,2024-02-23 13:05,微博网页版,247,0,3
O1UKtspkY,【英国美国Offer】学生：叔，你好！能帮忙投票一下嘛～本人双非财经工商管理，英方成绩70 中方88 雅思7(6)无G 三段实习，未来以回国就业为导向，应该就在发展较好的二线城市，不考虑北上广深，留美留英没有执念！1. 布里斯托marketing布里斯托的排名可能会更好未来，并且是纯纯的marketing，并且费...全文 ,,无,无,无,2024-02-23 13:04,微博网页版,194,0,1
O1UJetRD1,"【英国Offer】学生：叔，投个稿，想问问大家的选校建议：本科双非，89➕，四五段短期实习，回国进律所，现在收到两个offer：1.利兹LLM International Corporate Law2.格拉Law, LLM现在想通过学习压力、生活环境、学校排名三个维度听听大家的选校建议！谢谢大家也谢谢叔！ 选校  ",,无,无,无,2024-02-23 13:01,微博网页版,91,0,0
O1UIYeRGC,【英国Offer】学生：叔～求选offer，bg211工商管理，均分91+。1.爱丁堡 管理学（爱宝排名和商学院实力真的很有吸引力，但是害怕就读体验和压分严重会抑郁）2.伦敦国王 国际营销3.伦敦国王 管理及技术变革（伦敦就读体验和生活体验更丰富只是QS和商学院排名稍逊爱宝）考虑读博士...全文 ,,无,无,无,2024-02-23 13:00,微博网页版,295,0,2
O1UId3KgF,【华威大学】学生：再次打扰一下我想问一下我华威大学的申请目前还没有进入到initial assessment的阶段 但是就算给我offer也不会去了 这种情况withdraw可以退申请费吗  原图 ,,https://wx4.sinaimg.cn/large/6cbca238gy1hn3b9nc82lj20s50lhwjo.jpg,无,无,2024-02-23 12:59,iPhone 15 Pro,0,0,0
O1UH25DYW,【华威大学】学生：您好！打扰啦，想问问华威wbs留位费交了之后是会一直保留这个位置吗？还是有时间限制，比如保留三个月什么的。在官网和offer中的附加链接中并没有找到相关内容，想着先来问问！感激不尽！  原图 ,,https://wx1.sinaimg.cn/large/6cbca238gy1hn3b6lnkkmj20s90sg0zt.jpg,无,无,2024-02-23 12:56,iPhone 15 Pro,1,0,0
O1UGwvIwJ,【英国Offer】学生：叔，求选offer~毕业后想进外企工作，以就业导向选校，哪个专业更合适呢1. Bristol Management (Marketing) (MSc)2. warwick WMG ebm digital marketing （MSc) 选校  ,,无,无,无,2024-02-23 12:54,微博网页版,153,0,0
O1UGcwLnX,【英国Offer】学生：叔，能不能帮忙发个选校投票，想请大家给个择校建议1⃣️UCL TESOL2⃣️曼大TESOL毕业后打算回国工作，具体规划还没有想好，不一定进体制当老师一些个人不成熟的看法：1⃣️UCL排名高，花费也大，至少比曼大多20万2⃣️UCL雅思要求7.5（7），目前打算语言班（7.2w）同时转考...全文 ,,无,无,无,2024-02-23 12:54,iPhone 15 Pro,233,1,4
O1UEziiaj,【留服认证】学生：大家好，想求问问格拉的公司管治与问责留服认证是啥呀？这个专业和管理学选哪个好一点呢？谢谢大家！  ,,无,无,无,2024-02-23 12:50,微博网页版,1,0,0
O1UCZc8uu,【英国Offer】学生：叔新年好！想麻烦大家帮我选个offer：KCL的Banking and finance和爱丁堡的management，主要是想以后好就业，就业方向金融券商类，谢谢您！ 选校  ,,无,无,无,2024-02-23 12:46,微博网页版,199,0,1
O1UCDeB8F,【英新Offer】学生：叔，想来咨询一下选校，能帮忙发个投票吗？感谢！offer：nus Applied Economicsucl urban economic development （巴院）爱丁堡 Economics（Finance）BG：211经济学91+ 4实习 雅思7纠结的点：ucl专业和课程设置没有其余两个满意，不确定性&开销比较大，nus和爱丁堡经济学...全文 ,,无,无,无,2024-02-23 12:45,微博网页版,272,1,4
O1UC3kpB5,【英国Offer】学生：叔 能不能发个投票选选offer呀本科双非机械工程 均分80+1.伯明翰机械工程 Msc Advanced Mechanical Engineering 申请了延期交留位费 时间也快到了2.利兹能源与环境 Msc Energy and Environment 选校  ,,无,无,无,2024-02-23 12:43,微博网页版,48,0,0
O1NNIy7We,看到李一舟这个名字，感觉好耳熟，一搜，原来真的是我中学音乐老师李蓝的儿子，他原来上非你莫属就火过，不过他怎么样不了解。但李蓝老师是我很喜欢的师大附中老师，白发白手套和大家一起打篮球，课上带着我们看悲惨世界的歌剧，交响情人梦和费加罗的婚礼，我甚至读初中就知道花腔很好听。  原图 ,,https://wx4.sinaimg.cn/large/6cbca238gy1hn2gp3yguij20wr1qotm7.jpg,无,无,2024-02-22 19:23,iPhone 15 Pro,6,1,0
O1NDDaTiF,【英国Offer】学生：叔！报个offer 爱宝 sds bg普通211 主修经济88 辅修数学87 无论文无雅 有一些比赛 tl 12.14-2.22  ,,无,无,无,2024-02-22 18:58,微博网页版,1,0,0
O1Nx37xFf,【英国TESOL专业】Q：学TESOL有可能在英国当地找工作吗？A：其实是有的，具体看自己怎么规划了。以我们自己的学生为例，我有学生是爱丁堡TESOL毕业的，毕业后之后学生拿到了2年psw工作签证。学生当时是想留在英国的中小学当英语老师，她利用PSW第一年的时间，找到了当地的小学的助教岗位，用来攒自...全文 [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/6cbca238gy1hn2fk2v86zj20g80kwgmv.jpg,http://ww2.sinaimg.cn/large/6cbca238gy1hn2fk2yp9rj20lg0bxacb.jpg",无,无,2024-02-22 18:42,微博网页版,7,5,0
O1NuyaBCl,你对自己留学之后毕业第一份工作的月薪期待是多少？ 选项  ,,无,无,无,2024-02-22 18:36,微博网页版,823,4,6
O1NaTwMn6,【英国美国Offer】学生：叔，求选offer~UCL CCE vs 西北 MSLCEUCL CCEpro1.伦敦的留学体验好，游欧洲方便2.qs排名高3.34400+7200(语言班），整体费用更便宜4.有认识的同学可以一起con1.语言要求高，需要读语言班2.中国人多，被国内认为水硕3.课程偏理论，在人类学学院下要读很多文献西...全文 ,,无,无,无,2024-02-22 17:47,微博网页版,223,1,10
O1Naqem5B,【英国Offer】学生：叔，想来咨询一下选校，感谢！offer：ucl Msc anthropology and professional practiceucl Msc social research methodskcl 人力资源曼大 MSc Human Resource Management (International Development)bg： 985社科87 雅思7（6.5） 两段实习 四段大创 未来首选回国进外企...全文 ,,无,无,无,2024-02-22 17:46,微博网页版,113,0,1
O1MWtk0dt,英国本科申新加坡硕士可以豁免雅思吗？ 崔钟博汶Cook的微博视频  ,,无,"https://f.video.weibocdn.com/o0/C192tnA3lx08cJWpk7qg010412008yBz0E010.mp4?label=mp4_hd&template=540x960.26.0&Expires=1708881614&ssig=DgBXfWGIYZ&KID=unistore,video",无,2024-02-22 17:12,微博视频号,1,0,0
O1L2f635D,【今日汇率】2024年2月22日：1英镑=9.15人民币1新元=5.38人民币1澳元=4.74人民币1港币=0.92人民币1欧元=7.83人民币中国银行钞/汇卖价，仅供参考  原图 ,,https://wx1.sinaimg.cn/large/6cbca238gy1hn24k2jkm2j20j60jhacy.jpg,无,无,2024-02-22 12:20,微博网页版,5,0,1
O1KNVzcP1,【香港新加坡Offer】学生：叔，求选offer~1.港大Journalism 感觉课程实践性很强，就业针对性也比较强的样子，还挺心动的 2.新加坡南洋理工 Master of Media and Communication 看传媒专业排名第五第六，感觉很厉害，但是看课程表不太明白就业方向是什么样的 3.新加坡国立大学 Master of Social S...全文 ,,无,无,无,2024-02-22 11:45,微博网页版,195,0,10
O1KNfpvfJ,【UCL Offer】学生：新年好叔！能帮忙发个投票吗！ucl的MSc Systems Engineering for the Internet of Things和MSc Energy Systems and Data Analytics (ESDA)两个专业该怎么选吗如果有就读过的同学分享更加感激！之后大概想在外企发展 暂时不考虑读博 谢谢大家 选校  ,,无,无,无,2024-02-22 11:43,微博网页版,63,0,0
O1KHweHua,【英国新加坡Offer】学生：Cook哥好 关注你三年啦 高中就看你的申请数据好焦虑 大学期间好好学习刷分 终于到我diy大满贯啦 希望能对后面申请我这个方向的同学有些参考～ bg：qs前100英本统计专业 两年分数都是一等 gre330 五相关实习 已拿offer：esg方向 ：帝国理工ccmf（11.7推荐信齐 11.10面邀...全文 ,,无,无,无,2024-02-22 11:29,微博网页版,7,0,1
O1KGC8lRw,【英国香港Offer】学生：叔 帮忙发个投票 BG：中外合办 国际商务 2:1 目前手里有华威大学 ebm 港理工gbda（全球商业决策） 以后回国发展 但没有明确的城市或地区 这两个排名差不太多 但不知道认可度相差多少 想听听大家意见 目前不考虑考公考编 选校  ,,无,无,无,2024-02-22 11:27,微博网页版,188,0,0
O1KFsiSXm,【英国香港Offer】学生：叔！！首先来报个喜！！爱宝和港理工港教育一共五个专业都拿到offer了！！！然后就是选offer求助了，麻烦大家帮忙分析分析，感谢！！1. 爱丁堡大学—健康人文与艺术硕士（1年制研究型理学硕士）2.香港理工大学—创新多媒体娱乐（1.5年制理学硕士）港理工2.29这个月底就要...全文 [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/6cbca238gy1hn22wn2my0j20u01k6wxp.jpg,http://ww1.sinaimg.cn/large/6cbca238gy1hn22wpmp57j210j0mkwl3.jpg,http://ww2.sinaimg.cn/large/6cbca238gy1hn22wsj7dvj20u00vh47d.jpg,http://ww1.sinaimg.cn/large/6cbca238gy1hn22wvi93lj20o80frdkj.jpg",无,无,2024-02-22 11:24,微博网页版,0,1,1
O1KE5nPEe,【英国法学LLM拒信】学生：Cook叔好，大家好，报两个拒信为后面攒人品。UCL llm general拒（tl12.3-2.2），爱丁堡llm iel拒（tl11.6-2.19）。bg是cupl87.95/雅7（6.5）/三实习/一些校奖。  已经交了kcl的留位费，希望港大的快快来  ,,无,无,无,2024-02-22 11:21,微博网页版,4,0,0
O1KD0asNl,【英国Offer】学生：叔，求选offer 曼大ifr，布大 ba和econ with ds，kcl eeid，ucl 可持续遗产（数据科学）。回国打算 想去外企或者大厂～ bg双非一本 经济统计学 89 选校  ,,无,无,无,2024-02-22 11:18,微博网页版,109,0,0
O1KCzwr7Q,【香港美国Offer】学生：你好 能否帮忙选一下offer啊谢谢 运动科学专业 cuhk vs Columbia tc applied physiology都是一年制 哥大比港中文贵60万 回国就业感觉这两个学校差别不是很大 冷门专业 tc在国内hr眼里会不会有歧视 目前的顾虑是感觉认可度差不多的话有必要为了哥大title多花60万嘛 纽约和hk都...全文 ,,无,无,无,2024-02-22 11:17,微博网页版,120,0,1
O1KBCrEHJ,【LSE Offer】学生：叔您好！能不能帮忙发个选校投票 想请大家给个择校建议有没有读过的前辈说一下这两个专业的学业压力怎么样啊毕业后打算回国工作LSE HRMLSE sociology没有明确的职业目标（咨询，券商，市场都在考虑范围内）BG：海本 gpa92  3实习 1科研 1创业经历 选校  ,,无,无,无,2024-02-22 11:15,微博网页版,116,0,0
