company_name,company_number,total_funding,
LENDINVEST PLC,8146929,2200000000,
PRODIGY FINANCE LTD,5912562,2100000000,
SUMUP PAYMENTS LIMITED,7836562,2000000000,
CHECKOUT LTD,8037323,1800000000,
REVOLUT LTD,8804411,1700000000,
WISE PLC,13211214,1700000000,
LENDABLE LTD,8828186,1600000000,
LANDBAY PARTNERS LIMITED,8668507,1600000000,
FNZ (UK) LTD,5435760,1400000000,
CURVE UK LIMITED,9523903,1200000000,
