company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
HM COMPLIANCE LTD,12010583,dissolved,ltd,search-results#company,{'company_profile': '/company/12010583'},2021-03-23,2019-05-22,['64191'],,53 Chudleigh Road,Birmingham,B23 6HG,United Kingdom,West Midlands,,2021,2019
A. FINANCIAL LTD,12015762,dissolved,ltd,search-results#company,{'company_profile': '/company/12015762'},2020-10-06,2019-05-24,"['64191', '64999', '70229']",,Unit 7 Navigation Business Village,Preston,PR2 2YP,United Kingdom,Lancashire,Navigation Way,2020,2019
S HUSSAIN LTD,12028959,dissolved,ltd,search-results#company,{'company_profile': '/company/12028959'},2021-10-26,2019-06-03,['64191'],,5 Oak Street,Nelson,BB9 7XF,United Kingdom,,,2021,2019
MOVOBTCHUB LIMITED,12952762,dissolved,ltd,search-results#company,{'company_profile': '/company/12952762'},2022-03-22,2020-10-15,['64191'],,21 Gloucester Street Pimlico,London,SW1V 2DB,United Kingdom,,,2022,2020
STEVIE-MAY ANTHONY LTD,12960404,dissolved,ltd,search-results#company,{'company_profile': '/company/12960404'},2023-04-11,2020-10-19,['64191'],,32 Heol-Y-Geifr,Bridgend,CF35 6UH,Wales,,Pencoed,2023,2020
COIN PORTAL INVESTMENT LIMITED,12960785,dissolved,ltd,search-results#company,{'company_profile': '/company/12960785'},2022-03-29,2020-10-19,['64191'],,Nash House,London,SW1V 3HQ,United Kingdom,,Lupus St Pimlico,2022,2020
INSTANT ASSET LIMITED,12978499,dissolved,ltd,search-results#company,{'company_profile': '/company/12978499'},2022-03-29,2020-10-27,['64191'],,12978499: COMPANIES HOUSE DEFAULT ADDRESS,Cardiff,CF14 8LH,,,,2022,2020
OOGNA CAPITAL LTD,12990907,dissolved,ltd,search-results#company,{'company_profile': '/company/12990907'},2022-04-05,2020-11-02,"['64191', '64303']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2022,2020
VASILE FINANCIAL SERVICES LTD,12989980,dissolved,ltd,search-results#company,{'company_profile': '/company/12989980'},2022-04-12,2020-11-02,"['64110', '64191', '64301']",,7 Triner Place,Stoke On Trent,ST6 8LE,United Kingdom,,Hernebay,2022,2020
DIQUO LTD,12999271,dissolved,ltd,search-results#company,{'company_profile': '/company/12999271'},2022-04-19,2020-11-05,"['64191', '64205', '80300']",,7 Russell's Wharf Flats,London,W10 4RE,United Kingdom,,Harrow Road,2022,2020
HASHMINING 123 LIMITED,13001965,dissolved,ltd,search-results#company,{'company_profile': '/company/13001965'},2022-04-19,2020-11-06,['64191'],,1 Warwick Square,London,SW1V 2AA,United Kingdom,,Pimlico,2022,2020
TREASURE CHOICE GROUP LTD,13016897,dissolved,ltd,search-results#company,{'company_profile': '/company/13016897'},2023-01-24,2020-11-13,"['64110', '64191', '66110', '66300']",,71-75 Shelton Street,London,WC2H 9JQ,England,,Covent Garden,2023,2020
LIFESCOUT COINS EXCHANGE LIMITED,12564560,dissolved,ltd,search-results#company,{'company_profile': '/company/12564560'},2021-09-28,2020-04-20,['64191'],,142-148 Ebury Street Belgravia,London,SW1W 9QG,United Kingdom,,,2021,2020
JY COMPLAINT SERVICES LTD,12585316,dissolved,ltd,search-results#company,{'company_profile': '/company/12585316'},2021-10-12,2020-05-04,['64191'],,9 Jeffereys Drive,Liverpool,L36 4NT,England,,,2021,2020
BAMBOO FS LIMITED,12629541,dissolved,ltd,search-results#company,{'company_profile': '/company/12629541'},2021-11-02,2020-05-28,"['64191', '64929']",,122 Vassall Road,London,SW9 6JB,England,,,2021,2020
SAG MINING LIMITED,12632403,dissolved,ltd,search-results#company,{'company_profile': '/company/12632403'},2021-11-02,2020-05-29,['64191'],,74 Cambridge Street Pimlico,London,SW1V 4QQ,United Kingdom,,,2021,2020
BANQUE SUISSE LTD,12634421,dissolved,ltd,search-results#company,{'company_profile': '/company/12634421'},2022-07-12,2020-05-30,"['64191', '64205', '64921', '64999']",,71-75 Shelton Street,London,WC2H 9JQ,United Kingdom,,Covent Garden,2022,2020
K SERVICES LIMITED,12642511,dissolved,ltd,search-results#company,{'company_profile': '/company/12642511'},2021-11-09,2020-06-03,['64191'],,28 Avenue Road,Bradford,BD5 8DB,England,,,2021,2020
ALDEBARAN FINANCE LTD,12647978,dissolved,ltd,search-results#company,{'company_profile': '/company/12647978'},2021-09-07,2020-06-05,"['64110', '64191', '70221', '70229']",,23-24 Berkeley Square,London,W1J 6HE,England,,,2021,2020
MO CISSE'S EMPIRE LTD,12666394,dissolved,ltd,search-results#company,{'company_profile': '/company/12666394'},2021-11-16,2020-06-12,"['64110', '64191', '64192', '64204']",,71-75 Shelton Street,London,WC2H 9JQ,United Kingdom,Greater London,,2021,2020
HAMILTON LOANS LIMITED,12674719,active,ltd,search-results#company,{'company_profile': '/company/12674719'},,2020-06-16,"['64191', '64205', '64910', '66300']",,Suite 2 1 Duchess Street,London,W1W 6AN,United Kingdom,,,,2020
AAZIM LTD,12685684,dissolved,ltd,search-results#company,{'company_profile': '/company/12685684'},2022-02-01,2020-06-20,['64191'],,23 Seymour Street,Northampton,NN5 5ET,England,,,2022,2020
BLOCKFLUX GROUP LIMITED,12692206,dissolved,ltd,search-results#company,{'company_profile': '/company/12692206'},2021-11-30,2020-06-23,['64191'],,12692206: COMPANIES HOUSE DEFAULT ADDRESS,Cardiff,CF14 8LH,,,,2021,2020
DIGISAFE GLOBAL LIMITED,12693400,dissolved,ltd,search-results#company,{'company_profile': '/company/12693400'},2022-10-04,2020-06-23,"['64191', '64910', '64999', '66300']",,2 Frederick Street,London,WC1X 0ND,United Kingdom,,Kings Cross,2022,2020
PEAKS ASCENDING LTD,12302101,dissolved,ltd,search-results#company,{'company_profile': '/company/12302101'},2021-12-21,2019-11-06,['64191'],,3b Sefton Drive,Liverpool,L8 3SD,United Kingdom,,Sefton Park,2021,2019
BANNATYNE FINANCE LIMITED,12318009,active,ltd,search-results#company,{'company_profile': '/company/12318009'},,2019-11-15,['64191'],,Power House,Darlington,DL1 1ST,United Kingdom,County Durham,Haughton Road,,2019
IK FINANCIAL SOLUTIONS LTD,12336075,dissolved,ltd,search-results#company,{'company_profile': '/company/12336075'},2021-06-29,2019-11-27,['64191'],,15 Hollin Hill Avenue,Leeds,LS8 2PP,England,West Yorkshire,,2021,2019
REWIRE HOLDING LTD,12344479,active,ltd,search-results#company,{'company_profile': '/company/12344479'},,2019-12-02,"['62020', '64191', '64205', '70221']",,128 City Road,London,EC1V 2NX,England,,,,2019
SBLC (JV) BUYSELL GROUP LTD,12355481,dissolved,ltd,search-results#company,{'company_profile': '/company/12355481'},2021-06-22,2019-12-09,"['64110', '64191', '64205', '64999']",,20-22 Wenlock Road,London,N1 7GU,England,,,2021,2019
EXCHEQUER EMPIRE LIMITED,13048391,dissolved,ltd,search-results#company,{'company_profile': '/company/13048391'},2023-03-28,2020-11-27,['64191'],,7 Furnace Square,Scunthorpe,DN16 1BL,England,,,2023,2020
RAYA INVEST LIMITED,13054432,dissolved,ltd,search-results#company,{'company_profile': '/company/13054432'},2022-05-10,2020-12-01,"['64191', '64301', '64304', '64921']",,Tower 42 International Financial Centre,London,EC2N 1HN,England,,25 Old Broad Street,2022,2020
SAFADI INTERNATIONAL GROUP LIMITED,13063677,dissolved,ltd,search-results#company,{'company_profile': '/company/13063677'},2023-06-27,2020-12-06,"['64110', '64191', '64301', '66300']",,Flat 2b Bramall Court,Salford,M3 6WA,England,,Cannon Street,2023,2020
CROWNSFIELD INVESTMENTS LTD,13069074,dissolved,ltd,search-results#company,{'company_profile': '/company/13069074'},2023-02-21,2020-12-07,"['64191', '64301', '64306', '64910']",,Rowlandson House 289-293 Ballards Lane,London,N12 8NP,United Kingdom,,,2023,2020
BOOKSMART ACCOUNTS LTD,13070235,dissolved,ltd,search-results#company,{'company_profile': '/company/13070235'},2022-05-17,2020-12-08,['64191'],,Ingeus,Derby,DE1 1LA,England,,Laurie House,2022,2020
STAZ LTD,SC503459,dissolved,ltd,search-results#company,{'company_profile': '/company/SC503459'},2022-10-11,2015-04-16,['64191'],,12 Big Brigs Way,Dalkeith,EH22 4DG,Scotland,,Newtongrange,2022,2015
LVM FINANCIAL SOLUTIONS LTD,SC503813,active,ltd,search-results#company,{'company_profile': '/company/SC503813'},,2015-04-21,['64191'],,5 Leehill Road,Glasgow,G21 1XJ,Scotland,Scotland,,,2015
ROBERT BRIGHT LIMITED,SC505117,dissolved,ltd,search-results#company,{'company_profile': '/company/SC505117'},2022-04-12,2015-05-05,['64191'],,43 Priorwood Drive,Dunfermline,KY11 8FG,Scotland,Fife,,2022,2015
GEORGE C FRANK LIMITED,SC507907,active,ltd,search-results#company,{'company_profile': '/company/SC507907'},,2015-06-08,['64191'],,31 Forth Crescent,Bo'Ness,EH51 9FB,Scotland,,,,2015
FERN LEAF CONSULTANTS LTD,SC514095,dissolved,ltd,search-results#company,{'company_profile': '/company/SC514095'},2017-10-31,2015-08-26,['64191'],,18 Newton Of Barr,Lochwinnoch,PA12 4AR,United Kingdom,,,2017,2015
RVM-TECH LTD,SC516878,dissolved,ltd,search-results#company,{'company_profile': '/company/SC516878'},2018-09-11,2015-09-30,['64191'],,8a/1 Leslie Place,Edinburgh,EH4 1NH,United Kingdom,,,2018,2015
MCCLOY HOLDINGS LTD,SC518461,dissolved,ltd,search-results#company,{'company_profile': '/company/SC518461'},2018-12-11,2015-10-22,['64191'],,43 Fir Park Street,Motherwell,ML1 2PR,Scotland,North Lanarkshire,,2018,2015
APRIL ARIES LIMITED,SC517594,dissolved,ltd,search-results#company,{'company_profile': '/company/SC517594'},2023-05-30,2015-10-09,['64191'],,C/O Horizon Ca,Glasgow,G3 7JT,Scotland,,12 Somerset Place,2023,2015
RJH FINANCIAL SOLUTIONS LIMITED,SC519290,dissolved,ltd,search-results#company,{'company_profile': '/company/SC519290'},2018-06-26,2015-11-02,['64191'],,95 Millbrae Road,Glasgow,G42 9UP,Scotland,Lanarkshire,,2018,2015
HARPER AND ALFIE DESIGN LTD,SC522617,active,ltd,search-results#company,{'company_profile': '/company/SC522617'},,2015-12-16,['64191'],,7 St. Francis Place,Coatbridge,ML5 4JU,Scotland,Lanarkshire,,,2015
N S FORREST LTD,SC527123,dissolved,ltd,search-results#company,{'company_profile': '/company/SC527123'},2020-02-04,2016-02-17,['64191'],,18 Cassidy Wynd,Balerno,EH14 7FE,Scotland,,,2020,2016
BYRON ALEXANDER LIMITED,SC533662,dissolved,ltd,search-results#company,{'company_profile': '/company/SC533662'},2022-02-01,2016-04-26,['64191'],,14 Sandend,Erskine,PA8 6EB,Scotland,,,2022,2016
SRSINCLAIR LIMITED,SC540072,dissolved,ltd,search-results#company,{'company_profile': '/company/SC540072'},2018-01-09,2016-07-12,['64191'],,70 Bannerman Place,Clydebank,G81 2UG,Scotland,Dunbartonshire,,2018,2016
M STIRLING SERVICES LTD,SC549999,dissolved,ltd,search-results#company,{'company_profile': '/company/SC549999'},2018-01-09,2016-11-11,['64191'],,56 Lawson Crescent,South Queensferry,EH30 9JE,Scotland,West Lothian,,2018,2016
ASHLEIGH LYON LIMITED,SC551839,dissolved,ltd,search-results#company,{'company_profile': '/company/SC551839'},2019-08-13,2016-12-05,['64191'],,112a Cumbernauld Road,Glasgow,G69 9AA,Scotland,,Muirhead,2019,2016
GLD CONTRACTORS LTD,SC552961,dissolved,ltd,search-results#company,{'company_profile': '/company/SC552961'},2019-08-20,2016-12-20,['64191'],,64 The Beeches,Lochgelly,KY5 9QB,Scotland,Fife,,2019,2016
BDC CONTRACTING LIMITED,SC555082,dissolved,ltd,search-results#company,{'company_profile': '/company/SC555082'},2018-07-03,2017-01-19,['64191'],,6 Cauldhame Rigg,Kilmarnock,KA3 5QJ,Scotland,,Stewarton,2018,2017
NICOLE MCNAUGHTON LIMITED,SC555588,dissolved,ltd,search-results#company,{'company_profile': '/company/SC555588'},2020-09-22,2017-01-25,['64191'],,40 Hainburn Park,Edinburgh,EH10 7HH,Scotland,,,2020,2017
EMMA REID LIMITED,SC555384,dissolved,ltd,search-results#company,{'company_profile': '/company/SC555384'},2020-09-22,2017-01-24,['64191'],,10 Selkirk Way,Coatbridge,ML5 4TN,Scotland,,,2020,2017
MCG CONSULTING LIMITED,SC555807,dissolved,ltd,search-results#company,{'company_profile': '/company/SC555807'},2018-01-09,2017-01-27,['64191'],,20a Kilwinning Road,Irvine,KA12 8RU,Scotland,,,2018,2017
SUNLIGHT ACCOUNTANCY LIMITED,SC558710,dissolved,ltd,search-results#company,{'company_profile': '/company/SC558710'},2019-03-26,2017-02-24,['64191'],,35 East Clapperfield,Edinburgh,EH16 6TU,United Kingdom,,,2019,2017
DEREK MACLEAN LTD,SC566383,liquidation,ltd,search-results#company,{'company_profile': '/company/SC566383'},,2017-05-18,['64191'],,Opus Restructuring Llp,Glasgow,G2 1QQ,,,9 George Square,,2017
AKGP LIMITED,SC570184,dissolved,ltd,search-results#company,{'company_profile': '/company/SC570184'},2023-07-11,2017-07-03,['64191'],,1 Elm Walk,Glasgow,G61 3BQ,Scotland,,Bearsden,2023,2017
BALFRON CONSULTING LIMITED,SC571593,dissolved,ltd,search-results#company,{'company_profile': '/company/SC571593'},2019-12-24,2017-07-19,['64191'],,Oakfield House C/O Wdm Chartered Accountants,Motherwell,ML1 1XA,Scotland,Lanarkshire,Brandon Street,2019,2017
JMCINTYRE CONTRACTORS LIMITED,SC571435,dissolved,ltd,search-results#company,{'company_profile': '/company/SC571435'},2018-07-31,2017-07-18,['64191'],,137 Carden Castle Park,Lochgelly,KY5 0EF,United Kingdom,,Cardenden,2018,2017
LEWIS WALKER FOREX LIMITED,SC572100,dissolved,ltd,search-results#company,{'company_profile': '/company/SC572100'},2019-08-06,2017-07-26,['64191'],,22 Westbourne Drive,Glasgow,G61 4BH,United Kingdom,,Bearsden,2019,2017
R. HUGHES CONTRACTS LIMITED,SC581338,dissolved,ltd,search-results#company,{'company_profile': '/company/SC581338'},2019-04-02,2017-11-13,['64191'],,3/1 111 Allison Street,Glasgow,G42 8NE,Scotland,,,2019,2017
DIXIETECH SOLUTIONS LTD,SC580877,dissolved,ltd,search-results#company,{'company_profile': '/company/SC580877'},2021-03-16,2017-11-07,"['62020', '64191', '65300']",,6 Gardiner Terrace,Edinburgh,EH4 3RS,United Kingdom,,,2021,2017
TORRIDUL LIMITED,SC585274,dissolved,ltd,search-results#company,{'company_profile': '/company/SC585274'},2018-08-07,2018-01-10,"['64191', '82110', '82990']",,4/5 Vorlich Court 115 Kirkton Avenue,Glasgow,G13 3EJ,United Kingdom,,,2018,2018
ALBA BANK LIMITED,SC586124,active,ltd,search-results#company,{'company_profile': '/company/SC586124'},,2018-01-18,['64191'],,Redwood House 5 Redwood Crescent,East Kilbride,G74 5PA,Scotland,South Lanarkshire,Peel Park,,2018
GARETH O MORRIS LTD,SC587402,dissolved,ltd,search-results#company,{'company_profile': '/company/SC587402'},2020-01-07,2018-02-01,['64191'],,Blaikhopebyres Steading,Innerleithen,EH44 6NN,Scotland,,,2020,2018
LACONTRACTOR LIMITED,SC588434,dissolved,ltd,search-results#company,{'company_profile': '/company/SC588434'},2019-06-11,2018-02-12,['64191'],,6 Valleyfield Place,Cowdenbeath,KY4 9AD,United Kingdom,,,2019,2018
O'NEIL ENTERPRISES LIMITED,SC589572,dissolved,ltd,search-results#company,{'company_profile': '/company/SC589572'},2021-07-13,2018-02-22,['64191'],,"Flat 2/3, 31 Cornalee Place Flat 2/3, 31 Cornalee Place",Glasgow,G53 7EN,Scotland,,Pollok,2021,2018
AMNESIAC CONSULTING LTD,SC592650,dissolved,ltd,search-results#company,{'company_profile': '/company/SC592650'},2020-03-10,2018-03-27,['64191'],,30 Ashley Grove Ashley Grove,Bellshill,ML4 3PL,United Kingdom,,,2020,2018
GECH LIMITED,SC596625,dissolved,ltd,search-results#company,{'company_profile': '/company/SC596625'},2020-12-01,2018-05-09,"['64191', '65300']",,7 King Street,Clydebank,G81 1DS,United Kingdom,,,2020,2018
FITTOSPECS UK LTD,SC605210,active,ltd,search-results#company,{'company_profile': '/company/SC605210'},,2018-08-14,"['64191', '64205']",,17 Queen Mary Drive,Larkhall,ML9 2FF,Scotland,,17,,2018
DJGOODBAND LTD,SC605766,active,ltd,search-results#company,{'company_profile': '/company/SC605766'},,2018-08-20,['64191'],,"2/1, 69 Causeyside Street",Paisley,PA1 1YT,Scotland,,,,2018
GMK MANAGEMENT SOLUTIONS LTD,SC624751,dissolved,ltd,search-results#company,{'company_profile': '/company/SC624751'},2021-09-28,2019-03-18,['64191'],,3 London Avenue,Glasgow,G40 3HR,Scotland,,,2021,2019
SHABEY LTD,SC627242,dissolved,ltd,search-results#company,{'company_profile': '/company/SC627242'},2020-09-22,2019-04-10,['64191'],,58/2 Milligan Drive,Edinburgh,EH16 4WD,Scotland,,,2020,2019
SIGNATURE BY SHAMA LIMITED,SC632133,active,ltd,search-results#company,{'company_profile': '/company/SC632133'},,2019-05-31,['64191'],,62 Jerviston Road,Motherwell,ML1 4AA,Scotland,,,,2019
ÄHM GROUP LIMITED,SC631632,dissolved,ltd,search-results#company,{'company_profile': '/company/SC631632'},2023-01-03,2019-05-28,"['64191', '70221', '70229']",,16 Blochairn Place,Glasgow,G21 2EE,Scotland,North Lanarkshire,Flat 3/1,2023,2019
IKSALTER CONSULTING LTD,SC642242,dissolved,ltd,search-results#company,{'company_profile': '/company/SC642242'},2021-06-08,2019-09-23,['64191'],,Milton House,Tranent,EH34 5EP,Scotland,East Lothian,Pencaitland,2021,2019
OCLL LIMITED,SC646653,dissolved,ltd,search-results#company,{'company_profile': '/company/SC646653'},2021-06-22,2019-11-11,['64191'],,32 Briar Road Kirkintilloch,Glasgow,G66 3SA,Scotland,,,2021,2019
WLD CONTRACTS LIMITED,12223003,dissolved,ltd,search-results#company,{'company_profile': '/company/12223003'},2021-03-30,2019-09-23,"['64110', '64191']",,51 Deans Way,London,HA8 9NH,United Kingdom,Middlesex,,2021,2019
CLEESON LTD,12237327,dissolved,ltd,search-results#company,{'company_profile': '/company/12237327'},2020-11-03,2019-10-01,['64191'],,112 Reliance House,Liverpool,L2 8AA,England,,20 Water Street,2020,2019
ZAYAAN RAFIQ LIMITED,12240430,dissolved,ltd,search-results#company,{'company_profile': '/company/12240430'},2021-01-05,2019-10-02,['64191'],,16 Glenholme Heath,Halifax,HX1 4TH,United Kingdom,,,2021,2019
DRS WISE CONSULTING LTD,12243783,dissolved,ltd,search-results#company,{'company_profile': '/company/12243783'},2021-05-04,2019-10-04,"['62012', '63110', '64191', '66300']",,8 Bankside,Sevenoaks,TN13 2UA,United Kingdom,Kent,Dunton Green,2021,2019
YY FINANCE LTD,12252944,dissolved,ltd,search-results#company,{'company_profile': '/company/12252944'},2021-09-28,2019-10-09,['64191'],,17 Grantham Terrace,Bradford,BD7 1RH,England,,,2021,2019
LUMI TRADE LTD,12264351,dissolved,ltd,search-results#company,{'company_profile': '/company/12264351'},2021-06-29,2019-10-16,"['64191', '64205']",,71-75 Shelton Street,London,WC2H 9JQ,England,,Covent Garden,2021,2019
HWYLD LTD,12288944,dissolved,ltd,search-results#company,{'company_profile': '/company/12288944'},2021-12-21,2019-10-30,['64191'],,First Floor 125-135 Telecom House Preston Road,Brighton,BN1 6AF,United Kingdom,,,2021,2019
LOWREY LIMITED,12294833,dissolved,ltd,search-results#company,{'company_profile': '/company/12294833'},2021-03-16,2019-11-04,['64191'],,15 Brayton Green,Leeds,LS14 5HA,England,,,2021,2019
INNOVATIVEKW GLOBAL GROUP LIMITED,12296737,dissolved,ltd,search-results#company,{'company_profile': '/company/12296737'},2021-12-21,2019-11-04,"['64191', '64306', '64910', '68100']",,"101 First Floor, Lansdowne House,",London,W1J 6ER,England,,57 Berkeley Square,2021,2019
TCB FINANCIAL SERVICES LIMITED,SC663969,dissolved,ltd,search-results#company,{'company_profile': '/company/SC663969'},2021-11-16,2020-06-11,['64191'],,2/1 80 Overdale Street,Glasgow,G42 9PZ,Scotland,,,2021,2020
CALEDONIA ASSOCIATES LIMITED,SC669224,dissolved,ltd,search-results#company,{'company_profile': '/company/SC669224'},2021-11-30,2020-07-29,"['64110', '64191', '64192', '64205']",,2-2 11 Kilmartin Place,Glasgow,G46 8DP,Scotland,,,2021,2020
SHADIA N LIMITED,SC683496,dissolved,ltd,search-results#company,{'company_profile': '/company/SC683496'},2022-05-17,2020-12-11,['64191'],,3 Langroods Circle,Paisley,PA3 2DL,Scotland,,,2022,2020
INFINITE PROFIT LIMITED,13385676,dissolved,ltd,search-results#company,{'company_profile': '/company/13385676'},2022-10-11,2021-05-10,['64191'],,38a Lennox Gardens Chelsea,London,SW1X 0DH,United Kingdom,,,2022,2021
MONTE VERDE CONSULTANCY LTD,13396153,dissolved,ltd,search-results#company,{'company_profile': '/company/13396153'},2023-09-05,2021-05-14,"['64110', '64191', '64192']",,25 Westlecot Road,Swindon,SN1 4EZ,United Kingdom,Wiltshire,,2023,2021
TOTAL OPS LTD,13417701,active,ltd,search-results#company,{'company_profile': '/company/13417701'},,2021-05-24,['64191'],,4 Great Fernhill Barns,Oswestry,SY11 4NQ,England,,Gobowen,,2021
CASSA DI RISPARMIO DI CENTO SPA LTD,13423338,dissolved,ltd,search-results#company,{'company_profile': '/company/13423338'},2022-11-01,2021-05-27,"['64110', '64191', '64205', '64999']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2022,2021
BULLBOT LIMITED,13538225,dissolved,ltd,search-results#company,{'company_profile': '/company/13538225'},2023-01-31,2021-07-29,['64191'],,43 Eaton Square Belgravia,London,SW1W 9BD,United Kingdom,,,2023,2021
FIBONACCI COIN LTD,13539091,dissolved,ltd,search-results#company,{'company_profile': '/company/13539091'},2023-01-31,2021-07-30,['64191'],,113 Park Lane,London,W1K 7AJ,England,,,2023,2021
CRESCENDO CAPITAL GROUP LTD,13542576,dissolved,ltd,search-results#company,{'company_profile': '/company/13542576'},2023-01-31,2021-08-02,"['64191', '64304', '66300', '70221']",,113 Park Lane,London,W1K 7AJ,England,,,2023,2021
RECRUT LTD,13551868,dissolved,ltd,search-results#company,{'company_profile': '/company/13551868'},2023-01-31,2021-08-06,['64191'],,3 Phoenix Road,Ipswich,IP4 4ND,United Kingdom,Suffolk,,2023,2021
SAFETY GLOBAL LTD,13592534,dissolved,ltd,search-results#company,{'company_profile': '/company/13592534'},2023-02-21,2021-08-30,"['62020', '62090', '64191']",,40 Bank Street,London,E14 5NR,England,,,2023,2021
EARNINGZONE LTD,13758395,dissolved,ltd,search-results#company,{'company_profile': '/company/13758395'},2023-05-16,2021-11-22,['64191'],,56 Eaton Square Belgravia,London,SW1W 9BG,United Kingdom,,,2023,2021
KEYONETRADE LTD,13765257,dissolved,ltd,search-results#company,{'company_profile': '/company/13765257'},2023-05-16,2021-11-25,['64191'],,60 Eaton Square Belgravia,London,SW1W 9BG,United Kingdom,,,2023,2021
FIRST MINORITIES LIMITED,13771175,active,ltd,search-results#company,{'company_profile': '/company/13771175'},,2021-11-29,['64191'],,37 High Leys Drive,Leicester,LE2 5TL,England,,Oadby,,2021
BLIZ ASSETS MANAGEMENT LTD,13786633,active,ltd,search-results#company,{'company_profile': '/company/13786633'},,2021-12-07,['64191'],,63 Eaton Square Belgravia,London,SW1W 9BG,United Kingdom,,,,2021
PARETO.XYZ LTD,13787219,active,ltd,search-results#company,{'company_profile': '/company/13787219'},,2021-12-07,"['62012', '64191', '85410']",,12 Weststand Highbury Stadium Square,London,N5 1FG,England,,,,2021
S FLOOD LTD,13809207,dissolved,ltd,search-results#company,{'company_profile': '/company/13809207'},2023-06-13,2021-12-20,['64191'],,24 Garnet Road,Bordon,GU35 0XW,United Kingdom,Hampshire,,2023,2021
"EXCEPTION, LEADING, SAFE, IMMANENT LIMITED COMPANY LTD",13808458,dissolved,ltd,search-results#company,{'company_profile': '/company/13808458'},2023-06-13,2021-12-20,"['64191', '64205', '66190', '84110']",,13808458 - COMPANIES HOUSE DEFAULT ADDRESS,Cardiff,CF14 8LH,,,,2023,2021
BACHPAY LTD,13965292,dissolved,ltd,search-results#company,{'company_profile': '/company/13965292'},2023-08-15,2022-03-09,"['62090', '64191']",,8d The Skills Centre,Portsmouth,PO3 5LF,United Kingdom,Hampshire,Limberline Spur,2023,2022
SAROOSH LTD,13967435,dissolved,ltd,search-results#company,{'company_profile': '/company/13967435'},2022-11-08,2022-03-10,['64191'],,13967435: COMPANIES HOUSE DEFAULT ADDRESS,Cardiff,CF14 8LH,,,,2022,2022
YEWANDE & CO. LIMITED,13972669,dissolved,ltd,search-results#company,{'company_profile': '/company/13972669'},2023-06-20,2022-03-12,['64191'],,25 Fifth Avenue,London,E12 6DA,England,,,2023,2022
HURDLEBULLS PVT LTD,13621720,dissolved,ltd,search-results#company,{'company_profile': '/company/13621720'},2023-03-07,2021-09-14,['64191'],,49 Eaton Square Belgravia,London,SW1W 9BD,United Kingdom,,,2023,2021
MONO PAY LIMITED,13629403,active,ltd,search-results#company,{'company_profile': '/company/13629403'},,2021-09-17,"['64191', '64303', '64304', '64999']",,71-75 Shelton Street,London,WC2H 9JQ,United Kingdom,,,,2021
KUNS FINANCE LTD,13647379,dissolved,ltd,search-results#company,{'company_profile': '/company/13647379'},2023-03-21,2021-09-28,"['64110', '64191', '64301', '70221']",,20-22 Wenlock Road,London,N1 7GU,England,,,2023,2021
GRIS LTD,13657408,dissolved,ltd,search-results#company,{'company_profile': '/company/13657408'},2023-03-28,2021-10-01,"['64191', '64205', '64301', '64303']",,128 City Road,London,EC1V 2NX,United Kingdom,,,2023,2021
FCL-HANDYWARE FINANCIAL GROUP [U.K.] LTD.,13889184,active,ltd,search-results#company,{'company_profile': '/company/13889184'},,2022-02-02,"['64191', '64910', '64922', '66300']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,,2022
MEMENTOWW LTD,13934411,dissolved,ltd,search-results#company,{'company_profile': '/company/13934411'},2023-08-01,2022-02-23,"['64191', '64202', '64209', '64922']",,2 Frederick Street,London,WC1X 0ND,United Kingdom,,Kings Cross,2023,2022
PHF ASSURE LTD,13937209,dissolved,ltd,search-results#company,{'company_profile': '/company/13937209'},2023-08-01,2022-02-24,"['64191', '64922', '65110', '99000']",,20-22 Wenlock Road,London,N1 7GU,England,,,2023,2022
GROUP 5+ BFS LTD,13332466,dissolved,ltd,search-results#company,{'company_profile': '/company/13332466'},2022-09-13,2021-04-13,"['64191', '64304', '64305', '64306']",,Kemp House,London,EC1V 2NX,United Kingdom,,152 - 160 City Road,2022,2021
VESTINWOLF FINANCIAL SERVICES LIMITED,13347965,dissolved,ltd,search-results#company,{'company_profile': '/company/13347965'},2022-09-27,2021-04-20,"['64191', '64999', '66120', '66190']",,61 Ermine Side,Enfield,EN1 1DD,England,,,2022,2021
SOASTECH INVESTMENT LTD,13375671,dissolved,ltd,search-results#company,{'company_profile': '/company/13375671'},2022-10-11,2021-05-04,['64191'],,40 Lennox Gardens Chelsea,London,SW1X 0DH,United Kingdom,,,2022,2021
HFRO CONSULTANTS LIMITED,13172654,dissolved,ltd,search-results#company,{'company_profile': '/company/13172654'},2022-06-07,2021-02-02,['64191'],,202a Clarewood Court,Newcastle Upon Tyne,NE4 5HG,United Kingdom,Tyne And Wear,,2022,2021
DEMOCRACY X LIMITED,13721096,active,ltd,search-results#company,{'company_profile': '/company/13721096'},,2021-11-03,"['64191', '66110', '66300']",,128 City Road,London,EC1V 2NX,United Kingdom,,,,2021
BULGE ASSET MANAGEMENT LTD,13735922,dissolved,ltd,search-results#company,{'company_profile': '/company/13735922'},2023-05-09,2021-11-10,['64191'],,52b Charlwood Street Pimlico,London,SW1V 2DP,United Kingdom,,,2023,2021
